Accessingroutines 存取程序
Analogous 类似的
Animation 动画
Anomalous 异常的
Architecture 架构
Assemble 汇编
Attribute 属性
Binary 二进制
Cluster 聚集
Complexity 复杂度
Compound 使加重
Concurrency 并发性
Configuration 结构；配置
Consecutive 连续的
Constant 固定的，不变的
Constraint 约束
Contiguous 相邻的
Coordinate 协调
Criteria 标准
Deliver 发布
Deplete 耗尽
Dequeue 出列
Descendant 子孙
Diagram 图
Discipline 规则,学科
Dispatch 调度
Dynamic 动态的
Elaborate 复杂的
Emulate 模仿
Encapsulate 封装
Entry 记录
Execution 执行
Executable 可执行的
Explicitly 显示地
Extraneous 无关的
Fetch 取页
Field 字段
Finite 有限的
Flowchart 流程图
Frame 表达
Graphics 图形
Heterogenous 异质的
Homogenous 同质的
Indicate 表示
Infrastructure 基础设施
Instance 实例
Integrate 整合
Integrated 集成的
Integrity 完整性
Interface 接口
Interpreter 解释器
iterative 迭代的
Join 链接
Mainframe 大型机
Maintenance 维护
Malfunction 出现故障
Manipulate 操作
Optimization 优化
Overhead 开销
Parameter 参数
Parentheses 圆括号
Parenthesis 括号
Partially 部分地
Pictorially 图形化地
Preceding 前面的
Preempt 抢先
Principal 主要的
Project 投影
Property 性质
Provision 提供
Pseudocode 伪码
Qualitative 定性的
Quantitative 量化的
Query 查询
Reassignment 再赋值
Redundant 冗余的
Register 寄存器
Relationalalgebra 关系代数
Scatter 分散
Schema 模式
Scheme 体系
Semantics 语义
Semaphore 信号量
Sequential 顺序的
specification 规格说明，规范
Splice 拼接
Succeeding 之后的
Synchronize 同步
Synonymous 同义地
Tabular 表格的
Term 把…称为
Terminology 术语
Throughput 吞吐量
Tightly-coupled 紧耦合的
Time-slice 时间片
Translator 编译器
Tuple 元组
Unauthorized 未经授权的
Underlying 内在的
Uniprocessor 单处理器
Vague 模糊的
intermediary 中间媒介
coin 创造
aspiration 愿望
rallyingcry 号召
quantifiable 可量化的
capture 采集，表达，描述
paradigm 范例
daunting 令人畏惧的
transformation 变换
commonality 共同特征;共性
medium 媒介
readily 轻而易举地
implement 实施
modelingprimitives 建模原语
prototyping 原型设计法
assign 分派
capitalize 利用
prescribe 规定
intermediate 中间的
hierarchy 层次结构
elicit 启发
demonstrate 说明展示
disciplined纪律性的
generalization概述
properties 性质
verification  检查
validation  验证
validated 有效的
dictate 决定
depiction 描述
decomposition 分解
devise 设计
confer 协商;交换意见
intimate 密切的
converge 融合
sophisticated 复杂的
profound 意义深远的
obsolete 过时的
autonomous 自治的
forcibly 强行地
connectivity 连通性
windowshop 浏览橱窗;逛商店
stacks 书库
encompass 包括
topology 拓扑结构
fairly 相当的
peripheral 外围的
hub 中心；集线器
polling 轮询
backbone 骨干 
decentralized 分散的;非集中的
dispersed 分散的
hybrid 混合的
prime v.把(事物)准备好
itinerary 行程
specialization 专业化
authority 权利
focalpoint 焦点
decline 下降
scale 规模；范围
transmission 传输
lease 租赁
gateway 网关
router 路由器
intranet 内联网;内部网
extranet 外联网;外部网 
resemble v.类似于
browser 浏览器
intuitive 直观的
supplier 供应商
inventory 库存
concrete 具体的
simultaneous 同时的
timing 节奏
textual 文本的
universal 普遍的
resolution 分辨率
pixel 像素
density 密度
compress 压缩
incorporateinto 纳入
whereas  (对比两个事实)然而
discrete 离散的
analog 模拟
ingredient 元素
motion 运动
illusion 错觉
procure 获得
deteriorate 恶化
distortion 失真
cassette 录影带盒
cognitive 认知的
mimic 模仿
general-purpose 通用的
revive 复个兴
resurgence 复兴
logistics 物流
benchmark 基准
reigning 现任的
handicap 让步
reasoning 推理
optimization 优化
drawupon 利用
neuron 神经元
tedious  乏味的
sensory 感觉的;感官的
deduce 推论;推断
navigation 导航
explicitprogramming 显式编程
supervisedlearning 监督学习
regression 回归
cluster 聚类
hence 因此
reinforcementlearning 强化学习
collaborative 协同的
e-commerce 电子商务
