GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
service,cn.edu.xmu.oomall.service.controller,ServiceOrderController,27,10,0,0,4,4,2,1,2,1
service,cn.edu.xmu.oomall.service.controller,DraftServiceController,16,10,0,0,3,4,1,1,1,1
service,cn.edu.xmu.oomall.service.controller,ServiceProviderController,50,10,0,0,9,4,4,1,4,1
service,cn.edu.xmu.oomall.service.controller.vo,ServiceProviderReceiveVo,16,0,0,0,5,0,4,0,4,0
service,cn.edu.xmu.oomall.service.controller.vo,ServiceProviderCancelOrderVo,16,0,0,0,5,0,4,0,4,0
service,cn.edu.xmu.oomall.service.controller.vo,DraftServiceVo,46,0,0,0,14,0,10,0,10,0
service,cn.edu.xmu.oomall.service.dao,ShopServiceDao,27,33,0,2,7,8,2,4,2,3
service,cn.edu.xmu.oomall.service.dao,ExpressDao,0,24,0,0,0,8,0,3,0,3
service,cn.edu.xmu.oomall.service.dao,RegionDao,0,18,0,0,0,5,0,3,0,3
service,cn.edu.xmu.oomall.service.dao,DraftServiceDao,0,48,0,2,0,13,0,6,0,5
service,cn.edu.xmu.oomall.service.dao,ServiceOrderDao,30,31,0,4,6,10,2,6,2,4
service,cn.edu.xmu.oomall.service.dao,ServiceDao,0,60,0,2,0,15,0,6,0,5
service,cn.edu.xmu.oomall.service.dao,ServiceProviderDao,0,91,0,4,0,25,0,10,0,8
service,cn.edu.xmu.oomall.service.controller.dto,ServiceProviderDto,59,0,0,0,25,0,17,0,17,0
service,cn.edu.xmu.oomall.service.service,ServiceProviderService,18,29,1,1,4,9,2,4,1,4
service,cn.edu.xmu.oomall.service.service,DraftServiceService,23,40,1,3,6,12,1,3,0,2
service,cn.edu.xmu.oomall.service.service,ServiceOrderService,13,43,2,6,4,14,2,5,0,3
service,cn.edu.xmu.javaee.core.util,CloneFactory,259,256,0,0,69,67,7,8,7,8
service,cn.edu.xmu.oomall.service.mapper.po,ShopServicePo,77,27,0,0,15,9,10,9,10,9
service,cn.edu.xmu.oomall.service.mapper.po,ExpressPo,37,7,0,0,9,3,7,2,7,2
service,cn.edu.xmu.oomall.service.mapper.po,ServicePo,50,66,0,0,2,28,2,19,2,19
service,cn.edu.xmu.oomall.service.mapper.po,RegionPo,100,136,0,0,2,58,2,39,2,39
service,cn.edu.xmu.oomall.service.mapper.po,ServiceProviderPo,35,82,0,0,2,27,2,19,2,19
service,cn.edu.xmu.oomall.service.mapper.po,DraftServicePo,30,86,0,0,1,29,1,20,1,20
service,cn.edu.xmu.oomall.service.mapper.po,ServiceOrderPo,54,122,0,0,1,51,1,35,1,35
service,cn.edu.xmu.oomall.service.dao.bo,ServiceProvider,64,399,5,5,21,56,13,30,9,29
service,cn.edu.xmu.oomall.service.dao.bo,ServiceProviderStatus,25,49,4,0,4,10,3,3,1,3
service,cn.edu.xmu.oomall.service.dao.bo,Service,27,127,0,0,2,39,2,23,2,23
service,cn.edu.xmu.oomall.service.dao.bo,Express,10,36,0,0,1,11,1,8,1,8
service,cn.edu.xmu.oomall.service.dao.bo,ShopService,107,460,6,0,23,39,13,22,10,22
service,cn.edu.xmu.oomall.service.dao.bo,ServiceOrder,208,308,10,4,60,32,40,15,33,15
service,cn.edu.xmu.oomall.service.dao.bo,DraftService,7,123,0,0,3,30,2,21,2,21
service,cn.edu.xmu.oomall.service,ServiceApplication,5,3,0,0,2,1,1,1,1,1
