2023-03-09 11:23:23,502 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@441772e: startup date [Thu Mar 09 11:23:23 CST 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2023-03-09 11:23:24,793 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[E:\SoftwareForStudy\Middleware\apache-activemq-5.15.0-bin\apache-activemq-5.15.0\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2023-03-09 11:23:25,094 | INFO  | PListStore:[E:\SoftwareForStudy\Middleware\apache-activemq-5.15.0-bin\apache-activemq-5.15.0\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2023-03-09 11:23:25,296 | INFO  | Apache ActiveMQ 5.15.0 (localhost, ID:LAPTOP-D4AQ8PCR-2768-1678332205113-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2023-03-09 11:23:25,324 | INFO  | Listening for connections at: tcp://LAPTOP-D4AQ8PCR:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-09 11:23:25,327 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2023-03-09 11:23:25,333 | INFO  | Listening for connections at: amqp://LAPTOP-D4AQ8PCR:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-09 11:23:25,336 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2023-03-09 11:23:25,345 | INFO  | Listening for connections at: stomp://LAPTOP-D4AQ8PCR:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-09 11:23:25,347 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2023-03-09 11:23:25,357 | INFO  | Listening for connections at: mqtt://LAPTOP-D4AQ8PCR:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2023-03-09 11:23:25,360 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2023-03-09 11:23:25,502 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@456be73c{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2023-03-09 11:23:25,615 | INFO  | Listening for connections at ws://LAPTOP-D4AQ8PCR:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2023-03-09 11:23:25,616 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2023-03-09 11:23:25,619 | INFO  | Apache ActiveMQ 5.15.0 (localhost, ID:LAPTOP-D4AQ8PCR-2768-1678332205113-0:1) started | org.apache.activemq.broker.BrokerService | main
2023-03-09 11:23:25,621 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2023-03-09 11:23:25,628 | WARN  | Store limit is 102400 mb (current store usage is 0 mb). The data directory: E:\SoftwareForStudy\Middleware\apache-activemq-5.15.0-bin\apache-activemq-5.15.0\bin\..\data\kahadb only has 35383 mb of usable space. - resetting to maximum available disk space: 35383 mb | org.apache.activemq.broker.BrokerService | main
2023-03-09 11:23:25,633 | WARN  | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: E:\SoftwareForStudy\Middleware\apache-activemq-5.15.0-bin\apache-activemq-5.15.0\bin\..\data only has 35383 mb of usable space. - resetting to maximum available disk space: 35383 mb | org.apache.activemq.broker.BrokerService | main
2023-03-09 11:23:26,438 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2023-03-09 11:23:26,630 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2023-03-09 11:23:26,632 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2023-03-09 11:23:26,762 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2023-03-09 11:23:27,012 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2023-03-09 11:23:27,133 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2023-03-09 11:27:13,022 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@3d1dc297: startup date [Thu Mar 09 11:27:13 CST 2023]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | WrapperSimpleAppMain
2023-03-09 11:27:14,368 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[E:\SoftwareForStudy\Middleware\apache-activemq-5.15.0-bin\apache-activemq-5.15.0\bin\win64\..\..\data\kahadb] | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2023-03-09 11:27:14,426 | INFO  | KahaDB is version 6 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2023-03-09 11:27:14,456 | INFO  | Recovering from the journal @1:503 | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2023-03-09 11:27:14,463 | INFO  | Recovery replayed 22 operations from the journal in 0.024 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | WrapperSimpleAppMain
2023-03-09 11:27:14,483 | INFO  | PListStore:[E:\SoftwareForStudy\Middleware\apache-activemq-5.15.0-bin\apache-activemq-5.15.0\bin\win64\..\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | WrapperSimpleAppMain
2023-03-09 11:27:14,657 | INFO  | Apache ActiveMQ 5.15.0 (localhost, ID:LAPTOP-D4AQ8PCR-2985-1678332434507-0:1) is starting | org.apache.activemq.broker.BrokerService | WrapperSimpleAppMain
2023-03-09 11:27:14,687 | INFO  | Listening for connections at: tcp://LAPTOP-D4AQ8PCR:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2023-03-09 11:27:14,689 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2023-03-09 11:27:14,696 | INFO  | Listening for connections at: amqp://LAPTOP-D4AQ8PCR:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2023-03-09 11:27:14,698 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2023-03-09 11:27:14,704 | INFO  | Listening for connections at: stomp://LAPTOP-D4AQ8PCR:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2023-03-09 11:27:14,707 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2023-03-09 11:27:14,715 | INFO  | Listening for connections at: mqtt://LAPTOP-D4AQ8PCR:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | WrapperSimpleAppMain
2023-03-09 11:27:14,717 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | WrapperSimpleAppMain
2023-03-09 11:27:14,870 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@52ee119f{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | WrapperSimpleAppMain
