id,customer,price
21,lwq,2959
22,mmc,3598
23,tfd,2961
24,zgx,2165
25,ddj,4100
26,wrd,3476
27,hjz,918
28,tbp,1552
29,bzz,4931
30,csj,4252
31,crx,3961
32,mcp,3437
33,dmq,2223
34,ycp,3840
35,hwc,3143
36,rnc,2532
37,gbb,2008
38,kkn,3588
39,qbz,2243
40,mlz,3191
41,jhw,2900
42,bgn,4491
43,fjj,4903
44,xmp,4234
45,mfz,4749
46,lmp,4598
47,zjk,430
48,mst,2682
49,nym,1926
50,qxm,4140
51,ljh,3035
52,fdt,427
53,qpl,108
54,nmj,3814
55,wxl,4770
56,mhn,320
57,jss,894
58,lch,242
59,clh,416
60,xhr,3983
61,mxf,4161
62,mbb,4332
63,fld,3557
64,mnw,3918
65,kqq,579
66,lpn,4963
67,rsh,1638
68,pzy,1561
69,tct,846
70,nfd,222
71,xdg,2642
72,njk,334
73,rjf,2804
74,gxq,4928
75,sqz,1576
76,hgh,3797
77,zgj,1966
78,lks,4711
79,ltf,707
80,rlj,3201
81,xfd,1073
82,mjw,3969
83,fzr,506
84,fjb,4824
85,tlt,2097
86,blf,4504
87,tjl,1657
88,jxn,133
89,wlr,4377
90,ncc,4299
91,ywc,778
92,fxq,562
93,wkb,1948
94,xdr,550
95,pjg,2682
96,xzh,2955
97,hrt,1984
98,blt,2538
99,nwh,2498
100,pth,1657
101,gwh,3421
102,msq,3268
103,cyt,3636
104,wdc,1508
105,wtn,2753
106,zjr,2125
107,fsn,1964
108,jhw,1421
109,hcq,151
110,lwg,4512
111,zrh,2851
112,pks,3458
113,lcl,4955
114,rhz,832
115,psn,2163
116,rms,3807
117,zcn,1035
118,szl,1816
119,yfk,4987
120,hyx,3045
121,ztr,3331
122,dyc,3022
123,zmn,4504
124,qwr,2697
125,tkm,2084
126,rmd,3324
127,jdr,1545
128,ydw,4893
129,nxb,3414
130,dks,1574
131,qss,4804
132,srq,3372
133,cdr,3787
134,zmr,603
135,zks,3213
136,fhl,1472
137,kww,4908
138,lng,1647
139,xcb,3548
140,bzr,2663
141,msy,1813
142,nmn,3719
143,pgm,4759
144,twr,1936
145,pmg,2309
146,xdn,3872
147,ykq,587
148,bqp,4853
149,tts,4296
150,bsg,4270
151,nzc,2800
152,ftt,380
153,flx,4447
154,wwb,280
155,bwm,1039
156,zky,4874
157,dxn,3618
158,hts,4139
159,fmm,3956
160,gcw,181
161,zkt,3585
162,pnc,4613
163,pmz,2634
164,qqd,453
165,trk,1049
166,kqp,2147
167,zqh,10
168,ykx,2410
169,lgx,4571
170,cdd,2035
171,gsb,3785
172,xzl,283
173,gkq,3647
174,gtt,884
175,jlc,823
176,mbc,2517
177,nth,2255
178,xjh,2909
179,sds,2347
180,sss,2539
181,jxp,2830
182,gdg,597
183,rqb,1743
184,tdl,1957
185,tfy,1410
186,fyj,458
187,lrt,1741
188,fgf,2221
189,yzd,68
190,jfg,2113
191,nrf,1655
192,mdt,2250
193,nxs,4579
194,ljz,1446
195,wfs,415
196,yjy,1301
197,hnc,3452
198,gts,3620
199,mtq,2939
200,zhm,1132
201,ggz,2086
202,mxb,4761
203,nnp,243
204,ddk,1558
205,nwy,154
206,knf,932
207,bth,4723
208,hsg,3054
209,mbj,2478
210,hqk,4021
211,frz,2958
212,ylj,3423
213,rzf,4020
214,jhn,4501
215,kpg,4903
216,qkr,1436
217,ykh,2562
218,jmz,1523
219,nnr,1885
220,lgj,3507
221,ldl,3441
222,tcx,3109
223,bwb,3125
224,jdj,3206
225,yjd,3789
226,ptk,1241
227,xnh,3454
228,sgj,3144
229,qdx,853
230,ssz,351
231,yyw,1943
232,dlf,4526
233,dlp,2661
234,pns,1445
235,sjn,1393
236,ynq,1236
237,sgr,2282
238,cqx,11
239,kjl,1901
240,nhh,1958
241,jht,159
242,jrb,3095
243,bsw,623
244,lmq,2476
245,cst,1999
246,gyj,1440
247,bpl,2418
248,xcd,1472
249,tzr,1662
250,zxp,4436
251,tbl,133
252,yhb,3166
253,hmx,2783
254,gzg,4057
255,rxl,4114
256,sdd,4043
257,dwr,3084
258,nzn,3561
259,qyc,3660
260,hgq,3946
261,spr,1065
262,ztf,4514
263,nkf,3465
264,mfd,4612
265,ykt,538
266,hbs,4073
267,cln,3598
268,nlr,3600
269,yyl,1449
270,ltj,4783
271,zwr,1147
272,tzq,3288
273,pcd,1549
274,jhw,2546
275,yhg,1476
276,zdk,2658
277,kmf,2837
278,bfd,2871
279,wbr,1423
280,zfk,3820
281,xlx,1090
282,dqf,14
283,dwt,731
284,rly,4066
285,gnf,859
286,ylz,2829
287,znz,1949
288,lrp,1462
289,tmy,4688
290,cmj,1297
291,xtx,3940
292,gsd,2050
293,ygy,1173
294,shp,2225
295,qtf,2521
296,lfp,1857
297,qrh,4767
298,pws,4333
299,bqr,334
300,jgh,326
301,ghm,282
302,wcc,4041
303,ngp,1147
304,wbp,2155
305,hpg,2144
306,njc,3440
307,fkm,1428
308,nkk,820
309,xjf,4678
310,nsh,4351
311,kfx,391
312,jzr,2962
313,jkm,872
314,blm,2518
315,cbk,4143
316,lgk,1631
317,sqb,2297
318,pwy,4343
319,yly,833
320,chr,3439
321,ddt,902
322,rjp,1524
323,hrt,4173
324,tkz,3785
325,jnw,1127
326,fbl,3886
327,xfw,454
328,yxs,3174
329,mlw,3898
330,zwc,2130
331,pfd,296
332,bkm,535
333,snr,3500
334,yjt,2909
335,fzk,2945
336,dcb,4760
337,xrl,1063
338,dpg,2363
339,wcj,3495
340,gth,4386
341,yjf,2860
342,shm,4493
343,bsh,3102
344,hms,3298
345,zlt,4792
346,lmp,3674
347,kdh,4458
348,fdd,4515
349,gjh,2703
350,lcj,1219
351,wpf,13
352,ykk,1344
353,fhl,816
354,mwt,2944
355,cpd,1495
356,cls,614
357,nzj,3956
358,hyf,4703
359,mbc,2151
360,hjp,3374
361,fks,2241
362,zlh,2991
363,lrq,2595
364,xmj,2298
365,dsh,3993
366,gws,2290
367,jkp,2540
368,fhz,2009
369,lqw,3054
370,wch,630
371,gfq,2426
372,xqd,4941
373,nbm,664
374,wkt,1306
375,dkp,877
376,gfg,4657
377,dfr,228
378,qrr,3991
379,zdf,3101
380,rss,4862
381,rbw,1988
382,qlc,1065
383,bkx,3369
384,kgs,2264
385,brx,2953
386,dnp,2902
387,fjx,1073
388,ldg,3367
389,sfc,1386
390,bjp,3205
391,ybc,892
392,spr,572
393,gzh,3583
394,qgl,4804
395,dsc,4393
396,pdb,4899
397,bjw,3111
398,dbk,972
399,klw,2853
400,cwt,2436
401,phl,3244
402,bbp,1821
403,wpt,250
404,dqs,4744
405,wnc,4729
406,mcn,2774
407,srs,1119
408,pxh,1516
409,xtl,747
410,wnf,4171
411,rqx,2577
412,txq,2883
413,yyz,2701
414,qrs,3456
415,jll,574
416,qtz,3818
417,hhm,3070
418,yxw,1507
419,cwt,1247
420,lsl,2673
421,xbh,1203
422,wfl,2102
423,pss,2191
424,gjq,1901
425,mzw,217
426,nzq,711
427,gpl,3101
428,zch,3570
429,gff,4765
430,txg,882
431,hfk,2717
432,bdk,2175
433,sng,4382
434,xxk,2001
435,hxj,1150
436,ygt,4222
437,dff,4329
438,tqx,3880
439,gjl,919
440,bhq,1229
441,xwm,4499
442,cxl,2696
443,wxp,2494
444,fdc,1742
445,xmm,4305
446,xph,3249
447,yfb,2433
448,gry,1694
449,dpx,1415
450,zrn,4933
451,jdb,3653
452,glt,1767
453,fbm,2526
454,mmd,103
455,kwk,2561
456,ngm,4717
457,xqp,4926
458,lqn,3653
459,hrc,3356
460,yll,367
461,pdq,4061
462,wpl,495
463,xmd,2006
464,kns,3298
465,bll,2595
466,zzj,797
467,grt,4199
468,zlf,1383
469,qwd,288
470,qjm,2103
471,ldh,2966
472,wlz,267
473,ztj,2382
474,nrd,2178
475,zwy,1444
476,xqk,4848
477,jcd,4637
478,wcj,1548
479,xsy,3548
480,dcm,2443
481,nhp,3871
482,gjh,4490
483,cjn,3397
484,bgt,2146
485,lqh,2921
486,qpj,1327
