第十三回  秦可卿死封龙禁尉　王熙凤协理宁国府
第五回  游幻境指迷十二钗  饮仙醪曲演红楼梦
第七回  送宫花周瑞叹英莲　谈肆业秦钟结宝玉
第十二回  王熙凤毒设相思局　贾天祥正照风月鉴
第六回  贾宝玉初试云雨情　刘姥姥一进荣国府
第八回  薛宝钗小恙梨香院　贾宝玉大醉绛芸轩
第九回  恋风流情友入家塾　起嫌疑顽童闹学堂
第四回  薄命女偏逢薄命郎　葫芦僧乱判葫芦案
第十回  金寡妇贪利权受辱　张太医论病细穷源
第十一回  庆寿辰宁府排家宴　见熙凤贾瑞起淫心
第三回  金陵城起复贾雨村　荣国府收养林黛玉
第一百二十回甄士隐详说太虚情　贾雨村归结红楼梦
第一回  甄士隐梦幻识通灵　贾雨村风尘怀闺秀
第三十回  宝钗借扇机带双敲　龄官划蔷痴及局外
第二回  贾夫人仙逝扬州城　冷子兴演说荣国府
第三十一回  撕扇子作千金一笑　因麒麟伏白首双星
第三十二回 诉肺腑心迷活宝玉　含耻辱情烈死金钏
第一百十九回中乡魁宝玉却尘缘　沐皇恩贾家延世泽
第一百十一回鸳鸯女殉主登太虚　狗彘奴欺天招伙盗
第一百十三回忏宿冤凤姐托村妪　释旧憾情婢感痴郎
第一百十四回王熙凤历幻返金陵　甄应嘉蒙恩还玉阙
第一百十五回惑偏私惜春矢素志　证同类宝玉失相知
第一百十七回阻超凡佳人双护玉　欣聚党恶子独承家
第一百十六回得通灵幻境悟仙缘　送慈柩故乡全孝道
第一百十回 史太君寿终归地府　王凤姐力诎失人心
第一百十二回活冤孽妙尼遭大劫　死雠仇赵妾赴冥曹
第一百八回 强欢笑蘅芜庆生辰　死缠绵潇湘闻鬼哭
第一百十八回记微嫌舅兄欺弱女　惊谜语妻妾谏痴人
第一百七回 散余资贾母明大义　复世职政老沐天恩
第一百九回 候芳魂五儿承错爱　还孽债迎女返真元
第一百二回 宁国府骨肉病灾祲　大观园符水驱妖孽
第一百五回 锦衣军查抄宁国府　骢马使弹劾平安州
第一百回  破好事香菱结深恨　悲远嫁宝玉感离情
第一百四回 醉金刚小鳅生大浪　痴公子余痛触前情
第一百三回 施毒计金桂自焚身　昧真禅雨村空遇旧
第一百六回 王熙凤致祸抱羞惭　贾太君祷天消祸患
第一百一回 大观园月夜感幽魂　散花寺神签惊异兆
第九十九回 守官箴恶奴同破例?　阅邸报老舅自担惊
第九十八回 苦绛珠魂归离恨天　病神瑛泪洒相思地
第九十六回 瞒消息凤姐设奇谋　泄机关颦儿迷本性
第九十五回 因讹成实元妃薨逝　以假混真宝玉疯癫
第九十三回 甄家仆投靠贾家门　水月庵掀翻风月岸
第九十四回 宴海棠贾母赏花妖　失宝玉通灵知奇祸
第九十一回 纵淫心宝蟾工设计　布疑阵宝玉妄谈禅
第九十七回 林黛玉焚稿断痴情　薛宝钗出闺成大礼
第九十二回 评女传巧姐慕贤良　玩母珠贾政参聚散
第九十回  失绵衣贫女耐嗷嘈　送果品小郎惊叵测
第八十六回 受私贿老官翻案牍　寄闲情淑女解琴书
第八十七回 感深秋抚琴悲往事　坐禅寂走火入邪魔
第八十八回 博庭欢宝玉赞孤儿　正家法贾珍鞭悍仆
第八十九回 人亡物在公子填词　蛇影杯弓颦卿绝粒
第八十一回 占旺相四美钓游鱼　奉严词两番入家塾
第八十回  懦弱迎春肠回九曲姣怯香菱病入膏肓
