"ORDER_ID","ITEM_ID","PRODUCT_ID","QUANTITY","UNIT_PRICE"
70,7,32,132,46999
73,5,192,124,51999
74,7,27,92,80074
75,11,6,128,84999
76,10,95,106,10999
77,5,271,148,54959
81,7,79,127,65999
82,9,284,138,5499
83,8,174,117,79826
84,6,131,34,27999
87,11,271,58,54959
90,8,92,49,2200
91,11,226,77,30985
93,5,121,141,72199
94,9,12,33,82498
99,9,17,144,69901
102,3,247,149,33999
104,7,178,145,199989
105,6,183,79,89999
2,9,200,75,62095
4,8,18,116,799
6,7,7,119,68099
8,9,268,148,4788
2,1,43,111,29898
3,1,24,111,6689
4,1,280,47,14988
5,1,149,70,28298
6,1,199,67,64799
7,1,227,74,305
8,1,87,92,75999
9,1,108,139,84999
10,1,145,118,287
11,1,96,113,14156
12,1,191,41,57399
13,1,84,46,4403
14,1,129,98,73499
1,1,137,116,46999
15,1,287,60,32999
16,1,166,70,163889
17,1,149,51,28298
18,1,213,105,146996
19,1,38,53,119999
20,1,126,105,64099
21,1,36,79,129999
22,1,83,44,82999
23,1,202,104,71399
24,1,121,129,72199
25,1,43,109,29898
26,1,200,114,62095
27,1,71,38,660
28,1,31,61,44372
29,1,7,38,68099
30,1,235,70,4199
31,1,101,68,63599
32,1,251,83,33781
33,1,55,93,15099
34,1,185,141,87398
35,1,174,133,79826
36,1,204,45,68699
37,1,35,150,131499
38,1,71,90,660
39,1,186,116,144998
40,1,141,106,41999
41,1,268,80,4788
42,1,34,45,41798
43,1,67,74,86305
44,1,220,118,75999
45,1,74,43,70195
46,1,120,51,892
47,1,178,73,199989
48,1,165,46,166661
49,1,172,104,35849
50,1,215,49,82989
51,1,21,34,74999
52,1,235,123,4199
53,1,100,130,9788
54,1,208,73,119999
55,1,102,127,204269
56,1,84,70,4403
57,1,224,75,34999
58,1,64,55,52599
59,1,178,101,199989
60,1,205,74,64999
61,1,174,114,79826
62,1,188,130,48249
63,1,70,72,71099
64,1,199,61,64799
65,1,280,104,14988
66,1,77,143,69599
67,1,287,61,32999
68,1,163,98,189999
69,1,206,57,4139
70,1,185,146,87398
71,1,19,146,170437
72,1,129,101,73499
73,1,245,120,1699
74,1,104,97,8388
75,1,58,73,78498
76,1,109,92,71399
77,1,203,65,67138
78,1,92,147,2200
79,1,285,145,33999
80,1,213,63,146996
81,1,128,133,74163
82,1,91,42,225999
83,1,264,35,8899
84,1,106,137,60895
85,1,155,114,58895
86,1,202,46,71399
87,1,47,123,237709
88,1,278,139,67799
89,1,247,45,33999
90,1,65,84,119999
91,1,122,89,72299
92,1,208,114,119999
93,1,257,70,8495
94,1,255,38,9099
95,1,52,138,167698
96,1,260,34,26799
97,1,110,39,319297
98,1,66,104,39999
99,1,95,66,10999
100,1,280,70,14988
101,1,17,47,69901
102,1,196,69,109999
103,1,6,117,84999
104,1,129,74,73499
105,1,31,116,44372
1,2,78,77,68699
3,2,56,65,1699
5,2,15,45,72599
8,2,12,70,82498
9,2,99,123,6806
10,2,10,102,81199
12,2,63,58,57296
15,2,154,67,120498
16,2,155,106,58895
19,2,24,62,6689
20,2,41,78,29989
21,2,101,146,63599
22,2,116,45,73199
23,2,190,50,94899
25,2,239,119,73999
27,2,141,77,41999
28,2,121,120,72199
29,2,82,62,149989
31,2,176,97,93949
33,2,153,33,1249
35,2,70,134,71099
36,2,101,105,63599
37,2,67,129,86305
38,2,169,52,184489
39,2,153,108,1249
40,2,101,131,63599
41,2,219,82,129973
43,2,287,66,32999
46,2,4,112,269999
47,2,55,107,15099
48,2,158,98,200946
53,2,168,89,4399
55,2,32,70,46999
58,2,120,32,892
59,2,166,34,163889
60,2,13,138,70499
61,2,56,75,1699
63,2,54,47,101999
65,2,113,83,70499
66,2,218,40,138889
67,2,144,121,28979
68,2,248,42,277498
69,2,71,66,660
70,2,83,52,82999
71,2,241,38,1756
72,2,211,123,106499
74,2,250,86,33899
75,2,187,74,35398
76,2,177,98,175999
77,2,168,136,4399
78,2,169,50,184489
79,2,265,53,143199
82,2,107,71,644
83,2,196,54,109999
84,2,199,137,64799
85,2,230,35,13669
86,2,156,47,39499
87,2,233,96,5999
88,2,11,106,201511
89,2,102,84,204269
90,2,64,60,52599
91,2,220,127,75999
92,2,34,126,41798
94,2,186,146,144998
95,2,143,64,40299
97,2,207,82,325499
101,2,113,134,70499
104,2,171,90,38298
105,2,242,67,175199
1,3,64,52,52599
8,3,71,87,660
9,3,265,90,143199
12,3,42,75,29989
15,3,246,133,34399
16,3,235,56,4199
19,3,23,142,8989
22,3,24,77,6689
25,3,29,65,64599
27,3,68,96,76611
28,3,41,56,29989
29,3,268,118,4788
36,3,100,102,9788
38,3,264,89,8899
39,3,109,33,71399
40,3,250,131,33899
41,3,69,86,67875
43,3,110,94,319297
46,3,187,86,35398
47,3,65,99,119999
57,2,177,110,175999
58,3,113,73,70499
59,3,118,105,69989
60,3,272,144,107399
61,3,146,59,28398
65,3,116,35,73199
66,3,286,35,234
67,3,167,94,101046
68,3,183,50,89999
69,3,253,112,57999
71,3,195,75,105599
72,3,273,145,44364
75,3,33,143,5265
76,3,163,134,189999
77,3,218,143,138889
78,3,125,119,76899
83,3,116,76,73199
86,3,287,45,32999
87,3,130,119,11745
89,3,224,89,34999
91,3,266,83,141899
97,3,270,61,76999
101,3,135,134,12788
104,3,45,48,250169
105,3,275,45,39999
1,4,210,87,102999
8,4,25,40,10488
9,4,288,62,31999
12,4,144,70,28979
13,2,85,82,127499
14,2,206,133,4139
16,4,95,42,10999
18,2,226,57,30985
22,4,288,44,31999
24,2,227,61,305
25,4,209,80,119999
26,2,186,92,144998
27,4,263,95,8999
28,4,208,139,119999
29,4,141,32,41999
30,2,200,137,62095
33,3,217,67,40198
36,4,10,72,81199
38,4,61,59,4873
40,4,230,80,13669
41,4,258,49,5798
43,4,105,86,279999
44,2,215,148,82989
46,4,264,104,8899
57,3,238,122,74178
58,4,186,70,144998
59,4,47,138,237709
60,4,92,125,2200
61,4,34,71,41798
67,4,109,117,71399
68,4,163,125,189999
73,2,35,130,131499
75,4,142,115,299889
76,4,272,56,107399
77,4,2,99,255499
78,4,200,87,62095
79,3,204,138,68699
83,4,261,106,150499
86,4,121,76,72199
89,4,253,126,57999
90,3,134,106,29572
91,4,194,75,39742
