"PRODUCT_ID","PRODUCT_NAME","DESCRIPTION","STANDARD_COST","LIST_PRICE","CATEGORY_ID"
228,"Intel Xeon E5-2699 V3 (OEM/Tray)","Speed:23GHz,Cores:18,TDP:145W",286751,341046,1
248,"Intel Xeon E5-2697 V3","Speed:26GHz,Cores:14,TDP:145W",232627,277498,1
249,"Intel Xeon E5-2698 V3 (OEM/Tray)","Speed:23GHz,Cores:16,TDP:135W",203518,266072,1
2,"Intel Xeon E5-2697 V4","Speed:23GHz,Cores:18,TDP:145W",21444,255499,1
45,"Intel Xeon E5-2685 V3 (OEM/Tray)","Speed:26GHz,Cores:12,TDP:120W",201211,250169,1
46,"Intel Xeon E5-2695 V3 (OEM/Tray)","Speed:23GHz,Cores:14,TDP:120W",192513,243195,1
47,"Intel Xeon E5-2697 V2","Speed:27GHz,Cores:12,TDP:130W",210159,237709,1
51,"Intel Xeon E5-2695 V4","Speed:21GHz,Cores:18,TDP:120W",178035,226999,1
91,"Intel Xeon E5-2695 V2","Speed:24GHz,Cores:12,TDP:115W",179353,225999,1
92,"Intel Xeon E5-2643 V2 (OEM/Tray)","Speed:35GHz,Cores:6,TDP:130W",194018,2200,1
93,"Intel Xeon E5-2690 (OEM/Tray)","Speed:29GHz,Cores:8,TDP:135W",188833,211672,1
98,"Intel Xeon E5-2687W V3","Speed:31GHz,Cores:10,TDP:160W",178147,206499,1
102,"Intel Xeon E5-2687W V4","Speed:30GHz,Cores:12,TDP:160W",172383,204269,1
158,"Intel Xeon E5-2667 V3 (OEM/Tray)","Speed:32GHz,Cores:8,TDP:135W",150408,200946,1
159,"Intel Xeon E5-2690 V4","Speed:26GHz,Cores:14,TDP:135W",149926,199449,1
160,"Intel Xeon E5-2690 V3","Speed:26GHz,Cores:12,TDP:135W",154035,190873,1
162,"Intel Xeon E5-2470V2","Speed:24GHz,Cores:10,TDP:95W",167195,19047,1
163,"Intel Xeon E5-2683 V4","Speed:21GHz,Cores:16,TDP:120W",170695,189999,1
164,"Intel Xeon E5-2637 V2 (OEM/Tray)","Speed:35GHz,Cores:4,TDP:130W",132312,1850,1
169,"Intel Xeon E5-2683 V4 (OEM/Tray)","Speed:21GHz,Cores:16,TDP:120W",136983,184489,1
240,"Intel Core i7-4960X Extreme Edition","Speed:36GHz,Cores:6,TDP:130W",149643,180597,1
241,"Intel Xeon E5-2699 V4 (OEM/Tray)","Speed:22GHz,Cores:22,TDP:145W",153562,1756,1
242,"Intel Xeon E5-1680 V3 (OEM/Tray)","Speed:32GHz,Cores:8,TDP:140W",151985,175199,1
243,"Intel Xeon E5-2643 V4 (OEM/Tray)","Speed:34GHz,Cores:6,TDP:135W",122559,170886,1
19,"Intel Core i7-6950X (OEM/Tray)","Speed:30GHz,Cores:10,TDP:140W",147956,170437,1
52,"Intel Xeon E5-2670 V3","Speed:23GHz,Cores:12,TDP:120W",145394,167698,1
165,"Intel Xeon E5-2680","Speed:27GHz,Cores:8,TDP:130W",147995,166661,1
212,"Intel Xeon E5-2680 V4","Speed:24GHz,Cores:14,TDP:120W",136513,163999,1
166,"Intel Xeon E5-2680 V3 (OEM/Tray)","Speed:25GHz,Cores:12,TDP:120W",116689,163889,1
82,"Intel Core i7-6950X","Speed:30GHz,Cores:10,TDP:140W",105292,149989,1
213,"Intel Xeon E5-2643 V3 (OEM/Tray)","Speed:34GHz,Cores:6,TDP:135W",126637,146996,1
218,"Intel Xeon E5-2660 V4","Speed:20GHz,Cores:14,TDP:105W",119403,138889,1
219,"Intel Xeon E5-2660 V3","Speed:26GHz,Cores:10,TDP:105W",104199,129973,1
85,"Intel Xeon E5-2660 V3 (OEM/Tray)","Speed:26GHz,Cores:10,TDP:105W",90218,127499,1
153,"Intel Xeon E5-2650 V2","Speed:26GHz,Cores:8,TDP:95W",96111,1249,1
154,"Intel Xeon E5-2650 V3","Speed:23GHz,Cores:10,TDP:105W",90663,120498,1
209,"Intel Core i7-990X Extreme Edition","Speed:347GHz,Cores:6,TDP:130W",107279,119999,1
81,"Intel Xeon E5-2650 V4","Speed:22GHz,Cores:12,TDP:105W",94511,109999,1
211,"Intel Xeon E5-2650","Speed:20GHz,Cores:8,TDP:95W",86903,106499,1
210,"Intel Core i9-7900X","Speed:33GHz,Cores:10,TDP:140W",85582,102999,1
54,"Intel Xeon E5-1660 V3 (OEM/Tray)","Speed:30GHz,Cores:8,TDP:140W",91452,101999,1
167,"Intel Xeon E5-2650L V3 (OEM/Tray)","Speed:18GHz,Cores:12,TDP:65W",77917,101046,1
214,"Intel Core i7-5960X","Speed:30GHz,Cores:8,TDP:140W",86559,100979,1
53,"Intel Core 2 Extreme QX6800","Speed:293GHz,Cores:4,TDP:100W",78772,100398,1
59,"Intel Core i7-5960X (OEM/Tray)","Speed:30GHz,Cores:8,TDP:140W",8798,97799,1
176,"Intel Xeon E5-2650 V3 (OEM/Tray)","Speed:23GHz,Cores:10,TDP:105W",79998,93949,1
9,"Intel Xeon E5-2640 V4","Speed:24GHz,Cores:10,TDP:90W",73871,89999,1
119,"Intel Xeon E5-2640 V3","Speed:26GHz,Cores:8,TDP:90W",66824,89999,1
120,"Intel Core 2 Extreme QX9775","Speed:32GHz,Cores:4,TDP:150W",73768,892,1
16,"Intel Core i7-6900K","Speed:32GHz,Cores:8,TDP:140W",79289,88989,1
111,"Intel Core i7-6900K (OEM/Tray)","Speed:32GHz,Cores:8,TDP:140W",62028,82737,1
136,"AMD Opteron 6378","Speed:24GHz,Cores:16,TDP:115W",65192,82699,1
27,"Intel Core i7-3960X Extreme Edition","Speed:33GHz,Cores:6,TDP:130W",57341,80074,1
73,"Intel Core i7-4770K","Speed:35GHz,Cores:4,TDP:84W",71415,799,1
70,"Intel Xeon E5-2687W","Speed:31GHz,Cores:8,TDP:150W",58116,71099,1
74,"Intel Xeon E5-2680 V2","Speed:28GHz,Cores:10,TDP:115W",56781,70195,1
198,"Intel Core i7-980","Speed:333GHz,Cores:6,TDP:130W",5637,69999,1
69,"Intel Core i7-7820X","Speed:36GHz,Cores:8,TDP:140W",5111,67875,1
71,"Intel Core i7-3930K","Speed:32GHz,Cores:6,TDP:130W",50932,660,1
199,"Intel Xeon E5-2630 V4","Speed:22GHz,Cores:10,TDP:85W",52895,64799,1
76,"Intel Xeon E5-2630 V3","Speed:24GHz,Cores:8,TDP:85W",49996,62999,1
75,"Intel Core i7-4930K","Speed:34GHz,Cores:6,TDP:130W",52769,62404,1
200,"Intel Core i7-4790K","Speed:40GHz,Cores:4,TDP:88W",46192,62095,1
106,"Intel Xeon E5-2640 V2","Speed:20GHz,Cores:8,TDP:95W",54519,60895,1
8,"Intel Xeon E5-1650 V4","Speed:36GHz,Cores:6,TDP:140W",53547,60199,1
124,"Intel Xeon E5-1650 V4 (OEM/Tray)","Speed:36GHz,Cores:6,TDP:140W",45314,59499,1
72,"Intel Xeon E5-2630 V3 (OEM/Tray)","Speed:24GHz,Cores:8,TDP:85W",4219,58999,1
155,"Intel Xeon E5-2630 V2","Speed:26GHz,Cores:6,TDP:80W",49348,58895,1
80,"Intel Xeon E5-1650 V3","Speed:35GHz,Cores:6,TDP:140W",39977,56489,1
132,"Intel Core i7-5930K","Speed:35GHz,Cores:6,TDP:140W",48156,55499,1
133,"PNY VCQP6000-PB","Chipset:Quadro P6000,Memory:24GBCore Clock:142GHz",405899,549999,2
206,"PNY VCQM6000-24GB-PB","Chipset:Quadro M6000,Memory:24GBCore Clock:988MHz",361914,4139,2
207,"PNY VCQM6000-PB","Chipset:Quadro M6000,Memory:12GBCore Clock:988MHz",250504,325499,2
110,"ATI FirePro W9000","Chipset:FirePro W9000,Memory:6GBCore Clock:975MHz",278555,319297,2
123,"ATI FirePro S9150","Chipset:FirePro S9150,Memory:16GBCore Clock:900MHz",262806,317744,2
142,"AMD FirePro W9100","Chipset:FirePro W9100,Memory:16GBCore Clock:930MHz",248338,299889,2
105,"EVGA 12G-P4-3992-KR","Chipset:GeForce GTX Titan Z,Memory:12GBCore Clock:732MHz",231307,279999,2
4,"AMD 100-505989","Chipset:FirePro W9100,Memory:32GBCore Clock:930MHz",212867,269999,2
5,"PNY VCQK6000-PB","Chipset:Quadro K6000,Memory:12GBCore Clock:902MHz",174031,229079,2
11,"PNY VCQP5000-PB","Chipset:Quadro P5000,Memory:16GBCore Clock:161GHz",160221,201511,2
178,"HP C2J95AT","Chipset:Quadro K5000,Memory:4GBCore Clock:706MHz",171591,199989,2
267,"EVGA 12G-P4-1999-KR","Chipset:GeForce GTX Titan X,Memory:12GBCore Clock:115GHz",132803,179999,2
177,"PNY VCQM5000-PB","Chipset:Quadro M5000,Memory:8GBCore Clock:861MHz",126842,175999,2
245,"ATI FirePro S9050","Chipset:FirePro S9050,Memory:12GBCore Clock:900MHz",123704,1699,2
161,"AMD 100-5056062","Chipset:Vega Frontier Edition Liquid,Memory:16GBCore Clock:15GHz",134384,149999,2
186,"PNY VCQK5200-PB","Chipset:Quadro K5200,Memory:8GBCore Clock:667MHz",112939,144998,2
48,"AMD FirePro S7000","Chipset:FirePro S7000,Memory:4GBCore Clock:950MHz",93642,12185,2
184,"AMD 100-506061","Chipset:Vega Frontier Edition,Memory:16GBCore Clock:144GHz",70699,99999,2
181,"ATI FirePro R5000","Chipset:FirePro R5000,Memory:2GBCore Clock:825MHz",76059,99999,2
182,"PNY VCQK4200-PB","Chipset:Quadro K4200,Memory:4GBCore Clock:771MHz",79905,94989,2
183,"Asus GTX780TI-3GD5","Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:876MHz",78191,89999,2
185,"MSI GTX 1080 TI LIGHTNING Z","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:161GHz",68835,87398,2
281,"Asus ROG-POSEIDON-GTX1080TI-P11G-GAMING","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:162GHz",69614,86498,2
216,"MSI GTX 1080 TI LIGHTNING X","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:157GHz",74294,86398,2
6,"Zotac ZT-P10810A-10P","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:148GHz",70235,84999,2
108,"MSI GAMING","Chipset:GeForce GTX 780 Ti,Memory:3GBCore Clock:102GHz",75318,84999,2
83,"Asus STRIX-GTX1080TI-O11G-GAMING","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:157GHz",69113,82999,2
215,"PNY VCQP4000-PB","Chipset:Quadro P4000,Memory:8GBCore Clock:123GHz",724,82989,2
12,"Gigabyte GV-N108TAORUSX W-11GD","Chipset:GeForce GTX 1080 Ti,Memory:11GBCore Clock:163GHz",59605,82498,2
114,"Zotac ZT-70203-10P","Chipset:GeForce GTX 780,Memory:3GBCore Clock:101GHz",58042,82061,2
